"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2010-05-07T00:00:00.000Z""","AUS","Sydney","BOEING 747 400","N128UA","United States United Air Lines Inc.","","USA","Take-off","Serious incident",0,true,true,"","None","B37M",false,true,2,"Jet","","[]","",2010
"""2010-05-08T00:00:00.000Z""","AUT","Vienna","BOEING 737 800","SE-RHX","Sweden Viking Airlines Ab","","SWE","En route","Serious incident",0,true,true,"","","B37M",false,true,2,"Jet","","[]","",2010
"""2010-05-09T00:00:00.000Z""","VNM","","BOEING 777","VN-A149","","","VNM","Standing","Incident",0,true,true,"","None","B37M",false,true,2,"Jet","","[]","",2010
"""2010-05-11T00:00:00.000Z""","IRL","Mid Atlantic","AIRBUS A330","EI-ORD","Ireland Aer Lingus Teoranta","IRL","IRL","En route","Incident",0,true,true,true,"None","A306",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-05-13T00:00:00.000Z""","SAU","","AIRBUS A321","TC-JMF","Turkey Turk Hava Yollari (Turkish Airlines Co.)","TUR","TUR","Take-off","Incident",0,true,true,true,"None","A321",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-05-14T00:00:00.000Z""","ESP","Valencia a/p LEVL","BOEING 737 800","EI-DYX","Ireland Ryanair","IRL","IRL","En route","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""FUEL""]","OTH",2010
"""2010-05-14T00:00:00.000Z""","AUT","","CESSNA 500 CITATION","OM-OPE","","","SVK","Standing","Incident",0,true,false,"","None","C500",false,true,2,"Jet","","[]","",2010
"""2010-05-15T00:00:00.000Z""","CYP","PAPHOS","AIRBUS A320","5B-DBB","Cyprus Cyprus Airways","","CYP","Take-off","Serious incident",0,true,true,"","None","A320",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-05-16T00:00:00.000Z""","USA","Chantilly","BOEING 757 200","N510UA","United States United Air Lines Inc.","USA","USA","En route","Serious incident",0,true,true,true,"None","ST75",false,true,1,"Piston","","[""F-NI""]","F-NI",2010
"""2010-05-17T00:00:00.000Z""","FRA","AD Lille (59)","CANADAIR","F-GRJR","France Brit Air","FRA","FRA","Approach","Serious incident",0,true,true,true,"None","CRJ2",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-05-17T00:00:00.000Z""","HND"," San Pedro, Catacamas","Beechcraft 200 Super King Air","N308RH","CSSRJ Aviation","","USA","Landing","",0,true,true,false,"","BE20",false,true,2,"Turboprop","","[]","",2010
"""2010-05-17T00:00:00.000Z""","FRA","AD Lille (59)","","OO-GVE","Belgium ","","BEL","","Serious incident",0,true,false,"","None","XA41",false,true,1,"Piston","","[""MAC""]","OTH",2010
"""2010-05-19T00:00:00.000Z""","GHA","Manso Nkran, Ashanti Region","AEROSPATIALE AS350","ZS-RZM","","","ZAF","En route","Incident",0,true,false,"","Minor","AS50",true,false,1,"Turboprop","","[""UNK""]","UNK",2010
"""2010-05-20T00:00:00.000Z""","VEN","Colonia Tovar","AGUSTA A109","YV-1990","",,"VEN","Take-off","Serious incident",0,true,true,"","None","A109",true,false,2,"Turboprop","","[""OTHR""]","OTH",2010
"""2010-05-20T00:00:00.000Z""","BRA","(SBBR) - Brasília City, Sate of Federal District","FOKKER F28 100","PR-OAD","Brazil Other","BRA","BRA","Take-off","Serious incident","",true,true,true,"None","F100",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-05-21T00:00:00.000Z""","USA","Anchorage","AIRBUS A319","N810AW","United States Us Airways",,"USA","Approach","Serious incident",0,true,true,"","None","A319",false,true,2,"Jet","","[]","",2010
"""2010-05-22T00:00:00.000Z""","DEU","REP LOGDA","AIRBUS A319","D-AILH","Germany Deutsche Lufthansa Aktiengesellschaft","DEU","DEU","En route","Incident",0,true,true,true,"None","A319",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-05-23T00:00:00.000Z""","DEU","near Frankfurt/Hessen","AIRBUS A320","OE-LBT","Austria Austrian Airlines AG","","AUT","Unknown","Serious incident",0,true,true,false,"None","A320",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-05-23T00:00:00.000Z""","ARG","Aeroparque Jorge Newbery","LEARJET 60","LV-CCO","",,"ARG","Landing","Serious incident",0,true,true,false,"None","LJ60",false,true,2,"Jet","","[""RE""]","RS",2010
"""2010-05-23T00:00:00.000Z""","CYP","LARNACA INTERNATIONAL AIRPORT","AIRBUS A320","5B-DBA","Cyprus Cyprus Airways",,"CYP","Taxi","Serious incident",0,true,true,"","None","A320",false,true,2,"Jet","","[""SCF-NP"",""SCF-PP""]","SCF",2010
"""2010-05-23T00:00:00.000Z""","ITA","Torino (LIMF)","AIRBUS A320","SU-LBJ","","","EGY","Take-off","Serious incident",0,true,true,false,"None","A320",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-05-26T00:00:00.000Z""","TUR","Istanbul","AIRBUS A300","TC-MNC","Turkey Mng Havayollari Ve Tasimacilik A.s.",,"TUR","Take-off","Serious incident",0,true,true,"","None","A332",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-05-27T00:00:00.000Z""","SGP","Changi International Airport","AIRBUS A321","VH-VWW","",,"AUS","Approach","Serious incident",0,true,true,true,"None","A321",false,true,2,"Jet","","[""OTHR""]","OTH",2010
"""2010-05-29T00:00:00.000Z""","PRT","Faro a/p","BOEING 737 800","LN-DYA","Norway Norwegian Air Shuttle Asa","NOR","NOR","Landing","Serious incident",0,true,true,true,"None","B38M",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-05-30T00:00:00.000Z""","USA","","BOEING 747","N5017Q","","","USA","Unknown","Incident",0,true,true,"","None","B37M",false,true,2,"Jet","","[]","",2010
"""2010-06-01T00:00:00.000Z""","FRA","AD Brive (19)","ATR ATR42 300","F-GKNB","France Airlinair","FRA","FRA","Take-off","Serious incident",0,true,true,true,"None","AT44",false,true,2,"Turboprop","","[""MAC""]","OTH",2010
"""2010-06-01T00:00:00.000Z""","FRA","AD Brive (19)","MOONEY M20J","F-GNGG","","","FRA","Approach","Serious incident",0,false,false,"","None","M20P",false,true,1,"Piston","","[""MAC""]","OTH",2010
"""2010-06-01T00:00:00.000Z""","AUS","Sydney Aerodrome, NSW","AIRBUS A320","VH-VQL","",,"AUS","Standing","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""RAMP""]","RS",2010
"""2010-06-01T00:00:00.000Z""","AUS","Southern Cross (ALA), WA","SWEARINGEN SA226 TC","VH-NGX","",,"AUS","Approach","Serious incident",0,true,false,false,"None","SW2",false,true,2,"Turboprop","","[""OTHR""]","OTH",2010
"""2010-06-02T00:00:00.000Z""","FRA","en croisière, OLRAK","PILATUS PC12","EC-ISH","",,"ESP","En route","Serious incident",0,true,false,"","None","PC12",false,true,1,"Turboprop","","[""SCF-NP"",""MAC""]","SCF",2010
"""2010-06-02T00:00:00.000Z""","FRA","en croisière, OLRAK","AIRBUS A318","F-GUGJ","France Air France","FRA","FRA","En route","Serious incident",0,true,true,true,"None","A318",false,true,2,"Jet","","[""SCF-NP"",""MAC""]","SCF",2010
"""2010-06-04T00:00:00.000Z""","SWE","Stockholm/Arlanda a/p","MCDONNELL DOUGLAS","SE-DFY","","","SWE","Take-off","Incident",0,true,true,false,"None","F18H",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-06-04T00:00:00.000Z""","RUS","St Petersburg","ANTONOV AN140","RA-61701","",,"RUS","Approach","Serious incident",0,true,true,true,"None","A140",false,true,2,"Turboprop","","[""SCF-NP"",""LOC-I""]","LOC-I",2010
"""2010-06-04T00:00:00.000Z""","NLD","Eindhoven","BOEING 737 800","EI-DPX","Ireland Ryanair","IRL","IRL","Take-off","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-06-05T00:00:00.000Z""","KEN","HSSJ, Juba","CANADAIR CL600 2A12 600","5Y-JLE"," ","LAO","KEN","Standing","Incident",0,true,true,true,"None","CL60",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-06-06T00:00:00.000Z""","NLD","Amsterdam Schiphol (EHAM)","BOEING 737","CN-RMF","Morocco Royal Air Maroc","MAR","MAR","Take-off","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP"",""BIRD""]","RS",2010
"""2010-06-07T00:00:00.000Z""","ITA","Venezia/Tessera","AIRBUS A321","VP-BRW","Historical Data Ussr","SDN","BMU","Approach","Incident",0,true,true,true,"None","A321",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-06-07T00:00:00.000Z""","ESP","Girona a/p","BOEING 737 800","EI-DAX","","","IRL","Standing","Incident",0,true,true,true,"Minor","B37M",false,true,2,"Jet","","[""OTHR""]","OTH",2010
"""2010-06-09T00:00:00.000Z""","POL","enroute","ATR ATR72 200","HB-AFG","","","CHE","En route","Incident",0,true,true,false,"None","BE20",false,true,2,"Turboprop","","[""SCF-PP""]","SCF",2010
"""2010-06-10T00:00:00.000Z""","PER","within Peru","Cessna 208B Grand Caravan","OB-1922-P","Aerodiana","","PER","En route","",0,true,false,false,"","C208",false,true,1,"Turboprop","","[]","",2010
"""2010-06-10T00:00:00.000Z""","USA","Gulf of Mexico","BELL 206","N108PH","","","USA","Unknown","Serious incident",0,false,false,"","Minor","EBOY",false,true,1,"Piston","","[]","",2010
"""2010-06-11T00:00:00.000Z""","JPN","Narita International Airport","BOEING 747 400","JA01KZ","Japan Nippon Cargo Airlines","JPN","JPN","Take-off","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-06-12T00:00:00.000Z""","AUS","overhead Lord Howe airport","BOEING 737 800","VH-VUF","Australia Virgin Blue","AUS","AUS","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""OTHR""]","OTH",2010
"""2010-06-12T00:00:00.000Z""","FIN","Helsinki","AVRO","OH-SAR","Finland Blue 1 Oy","FIN","FIN","Take-off","Incident",0,true,true,true,"None","LANC",false,true,4,"Piston","","[""SCF-PP"",""ADRM""]","RS",2010
"""2010-06-13T00:00:00.000Z""","FRA","AD Paris Charles de Gaulle(95)","AIRBUS A320","F-GHQK","France Air France","FRA","FRA","","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""RI""]","RS",2010
"""2010-06-13T00:00:00.000Z""","FRA","AD Paris Charles de Gaulle(95)","AIRBUS A320","F-GTAT","France Air France","FRA","FRA","Take-off","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""RI""]","RS",2010
"""2010-06-14T00:00:00.000Z""","FRA","En croisière","AIRBUS","F-GSTF","France Airbus Transport International","","FRA","En route","Serious incident",0,true,true,"","None","A342",false,true,4,"Jet","","[""OTHR""]","OTH",2010
"""2010-06-15T00:00:00.000Z""","USA","Boston, Logan a/p","AIRBUS A330 200","EI-DIP","Italy Alitalia - Società Aerea Italiana","ITA","IRL","Take-off","Incident",0,true,true,true,"None","BE20",false,true,2,"Turboprop","","[""SCF-PP""]","SCF",2010
"""2010-06-16T00:00:00.000Z""","GRC","Athens","BOEING 767 300","N196DN","United States Delta Air Lines, Inc.","USA","USA","Standing","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""F-NI""]","F-NI",2010
"""2010-06-16T00:00:00.000Z""","HUN","Budapest/Ferihegy","BAE AVRO146RJ 200","OO-TAY","Belgium Tnt Airways","","BEL","En route","Incident",0,true,true,false,"None","M200",false,true,1,"Piston","","[""ICE""]","OTH",2010
"""2010-06-18T00:00:00.000Z""","CHE","Zurich airport LSZH","AIRBUS A340 600","HS-TNA","Thailand Thai Airways Co. Ltd.","THA","THA","Take-off","Serious incident",0,true,true,true,"None","A342",false,true,4,"Jet","","[""OTHR"",""ATM""]","OTH",2010
"""2010-06-18T00:00:00.000Z""","CHE","Zurich airport LSZH","ATR ATR42 300","G-DRFC","",,"GBR","Take-off","Serious incident",0,true,true,true,"None","B350",false,true,2,"Turboprop","","[""ATM"",""OTHR""]","OTH",2010
"""2010-06-20T00:00:00.000Z""","HUN","Budapest/Ferihegy","BOEING 737","HA-LOR","",,"HUN","Take-off","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""OTHR"",""F-NI""]","F-NI",2010
"""2010-06-21T00:00:00.000Z""","DEU","Eisenach, nahe","MITSUBISHI MU2B 26","D-IAHT"," ",,"DEU","En route","Serious incident",0,true,false,"","None","MU2",false,true,2,"Turboprop","","[""MAC"",""ARC""]","RS",2010
"""2010-06-21T00:00:00.000Z""","DEU","Eisenach, nahe","CIRRUS SR22 NO SERIES EXISTS","N137LU"," ",,"USA","","Serious incident",0,false,false,"","None","VK3P",false,true,1,"Piston","","[""MAC""]","OTH",2010
"""2010-06-22T00:00:00.000Z""","AUS","Cowell Aerodrome, 200° M 41Km","SAAB 340","VH-KDQ","",,"AUS","En route","Serious incident",0,true,true,false,"None","SF34",false,true,2,"Turboprop","","[""OTHR""]","OTH",2010
"""2010-06-23T00:00:00.000Z""","DEU","EDR-IO-B","MCDONNELL DOUGLAS","N434FS","",,"USA","En route","Serious incident",0,true,true,"","","DC87",false,true,4,"Jet","","[""OTHR""]","OTH",2010
"""2010-06-27T00:00:00.000Z""","DEU","Hamburg","CANADAIR","OY-RJH","Denmark Cimber A/s","DNK","DNK","Approach","Serious incident",0,true,true,true,"None","CRJ2",false,true,2,"Jet","","[""OTHR""]","OTH",2010
"""2010-06-27T00:00:00.000Z""","IRL","Dublin Airport (EIDW)","BOEING 737 800","EI-EMF","Ireland Ryanair","IRL","IRL","Standing","Incident",0,true,true,true,"Serious","B38M",false,true,2,"Jet","","[""RAMP""]","RS",2010
"""2010-06-28T00:00:00.000Z""","BRA","SBIP - Ipatinga, MG","ATR ATR42 300","PR-TTE","",,"BRA","Approach","Serious incident",0,true,true,true,"None","COL3",false,true,1,"Piston","","[""LOC-G"",""RE""]","RS",2010
"""2010-06-29T00:00:00.000Z""","FRA","Bâle-Mulhouse (68)","AIRBUS A319","F-GRHA","France Air France","FRA","FRA","En route","Serious incident",0,true,true,true,"Minor","A319",false,true,2,"Jet","","[""ATM"",""MAC""]","OTH",2010
"""2010-06-29T00:00:00.000Z""","FRA","Bâle-Mulhouse (68)","AIRBUS A319","HB-JZQ","Switzerland Easyjet Switzerland Sa","CHE","CHE","Approach","Serious incident",0,true,true,true,"Minor","A319",false,true,2,"Jet","","[""MAC"",""ATM""]","OTH",2010
"""2010-06-29T00:00:00.000Z""","SAU","Riyadh a/p","EMBRAER ERJ170","HZ-AEF","Saudi Arabia Saudi Arabian Airlines","SAU","SAU","Landing","Incident",0,true,true,true,"None","E170",false,true,2,"Jet","","[""ARC""]","RS",2010
"""2010-06-30T00:00:00.000Z""","ESP","Madrid-Barajas airport","ATR ATR72 200","EC-HJI","Spain Air Nostrum, Lineas Aereas Del Mediterraneo, S.A.","ESP","ESP","Take-off","Incident",0,true,true,true,"None","BE20",false,true,2,"Turboprop","","[""F-NI"",""SCF-PP""]","SCF",2010
"""2010-07-01T00:00:00.000Z""","HUN","LHBP area","AIRBUS A320","G-EZTA","United Kingdom Easyjet Airline Company Ltd","GBR","GBR","Take-off","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""ATM""]","OTH",2010
"""2010-07-01T00:00:00.000Z""","POL","Warsaw","FOKKER F28 100","D-AGPH","Germany Contact Air Flugdienst","","DEU","Take-off","Serious incident",0,true,true,"","None","F100",false,true,2,"Jet","","[]","",2010
"""2010-07-01T00:00:00.000Z""","AUS","Mount Gambier Airport, NW 50km","AERMACCHI AL60","VH-ELI","",,"AUS","En route","Serious incident",0,false,false,"","None","LA60",false,true,1,"Piston","","[""MAC""]","OTH",2010
"""2010-07-01T00:00:00.000Z""","HUN","LHBP area","BEECH 350","G-COBM","",,"GBR","","Serious incident",0,true,true,"","None","B350",false,true,2,"Turboprop","","[""ATM""]","OTH",2010
"""2010-07-01T00:00:00.000Z""","AUS","Mount Gambier Airport, NW 50km","PILATUS PC12","VH-FDK"," ",,"AUS","Approach","Serious incident",0,true,false,"","None","PC12",false,true,1,"Turboprop","","[""MAC""]","OTH",2010
"""2010-07-02T00:00:00.000Z""","GHA","Kotoka a/p","BOMBARDIER","5A-UAB","","","LBY","","Incident",0,true,true,"","None","CL30",false,true,2,"Jet","","[""GCOL""]","RS",2010
"""2010-07-02T00:00:00.000Z""","GHA","Kotoka a/p","BEECH 1900","ZS-OYE","Ghana Air Ghana","","ZAF","Taxi","Incident",0,true,true,"","None","B190",false,true,2,"Turboprop","","[""GCOL""]","RS",2010
"""2010-07-04T00:00:00.000Z""","USA","Dayton","AEROSPATIALE AS365 N3","N520CF","","","USA","En route","Serious incident",0,true,false,"","None","AS65",true,false,2,"Turboprop","","[]","",2010
"""2010-07-04T00:00:00.000Z""","FRA","","BEECH 200","F-GUFP","","","FRA","Standing","Incident",0,true,false,"","None","BE20",false,true,2,"Turboprop","","[]","",2010
"""2010-07-04T00:00:00.000Z""","DEU","Friedrichshafen","AIRBUS A320","TC-SKT","Turkey Sky Airlines","TUR","TUR","Standing","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""OTHR""]","OTH",2010
"""2010-07-04T00:00:00.000Z""","ITA","127 NM ESE LICC (Catania)","BOMBARDIER","P4-GAZ","","","ABW","En route","Serious incident",0,true,true,"","None","GLEX",false,true,2,"Jet","","[""FUEL""]","OTH",2010
"""2010-07-05T00:00:00.000Z""","FIN","enroute","ATR ATR72","OH-ATK","Finland Finnish Commuter Airlines Oy","FIN","FIN","En route","Serious incident",0,true,true,true,"None","AT73",false,true,2,"Turboprop","","[""FUEL""]","OTH",2010
"""2010-07-06T00:00:00.000Z""","GIN","","GULFSTREAM GV","EC-JQE","","","ESP","Unknown","Incident",0,true,true,"","None","GLF4",false,true,2,"Jet","","[]","",2010
"""2010-07-08T00:00:00.000Z""","FRA","VANAS","AIRBUS A319","G-EZIY","United Kingdom Easyjet Airline Company Ltd","GBR","GBR","En route","Serious incident",0,true,true,true,"None","A319",false,true,2,"Jet","","[""MAC"",""ATM""]","OTH",2010
"""2010-07-08T00:00:00.000Z""","AUS","Badu Island (ALA), 080° M 20Km","","VH-YZF","",,"AUS","Approach","Serious incident",0,true,false,"","None","C510",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-07-08T00:00:00.000Z""","AUS","Badu Island (ALA), 080° M 20Km","BELL 412","VH-EMZ","Australia Unknown",,"AUS","En route","Serious incident",0,true,false,"","None","B412",true,false,2,"Turboprop","","[""MAC""]","OTH",2010
"""2010-07-08T00:00:00.000Z""","FRA","VANAS","BOEING 737 300","D-ABXS","Germany Deutsche Lufthansa Aktiengesellschaft","DEU","DEU","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""ATM"",""MAC""]","OTH",2010
"""2010-07-09T00:00:00.000Z""","IDN","Kobakma Airstrip, Papua","CESSNA 208","PK-RJS","","","IDN","Landing","Serious incident",0,true,false,false,"None","C208",false,true,1,"Turboprop","","[""RE""]","RS",2010
"""2010-07-10T00:00:00.000Z""","ITA","Marina di Campo airport","DE HAVILLAND DHC8","OE-LSB"," ","CHN","AUT","Take-off","Serious incident",0,true,true,true,"Minor","MOSQ",false,true,2,"Piston","","[""OTHR""]","OTH",2010
"""2010-07-11T00:00:00.000Z""","ITA","Air ground Del Fermano","SHORT SC7","OE-FDE","Italy Other",,"AUT","En route","Serious incident",0,true,false,"","None","SC7",false,true,2,"Turboprop","","[""MAC"",""AMAN"",""LOC-I""]","LOC-I",2010
"""2010-07-12T00:00:00.000Z""","PRT","Lisbon","AIRBUS A319","G-EZIV","United Kingdom Easyjet Airline Company Ltd","GBR","GBR","Taxi","Incident",0,true,true,true,"Unknown","A319",false,true,2,"Jet","","[""RAMP""]","RS",2010
"""2010-07-12T00:00:00.000Z""","ESP","AD Bilbao","CANADAIR","F-GRZN","France Brit Air","FRA","FRA","Landing","Serious incident",0,true,true,true,"None","CVLT",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2010
"""2010-07-13T00:00:00.000Z""","CHL","En ruta","BOEING 767 300","CC-CDP","Peru Lan Peru S.A.","PER","CHL","En route","Incident",0,true,true,true,"None","C17",false,true,4,"Jet","","[""F-NI""]","F-NI",2010
"""2010-07-17T00:00:00.000Z""","LVA","near NINTA point","AIRBUS A330 200","PH-AOA","",,"NLD","En route","Serious incident",0,true,true,true,"None","BE20",false,true,2,"Turboprop","","[""MAC""]","OTH",2010
"""2010-07-17T00:00:00.000Z""","LVA","near NINTA point","AIRBUS A320","HA-LPV","Hungary Wizz Air Hungary Ltd",,"HUN","","Serious incident",0,true,true,"","None","A320",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-07-17T00:00:00.000Z""","DEU","München","AIRBUS A340 600","D-AIHC","Germany Deutsche Lufthansa Aktiengesellschaft","DEU","DEU","Approach","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""OTHR""]","OTH",2010
"""2010-07-18T00:00:00.000Z""","DEU","Bremen, nahe","BOEING 737 800","EI-EKJ","Ireland Ryanair","IRL","IRL","Approach","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-07-18T00:00:00.000Z""","UKR","Ukrainian airspace","BOEING 767 300","N765NA","Canada North American Airlines Ltd.",,"USA","En route","Serious incident",0,true,true,"","None","B37M",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-07-18T00:00:00.000Z""","ITA","VIE VOR/DME","AIRBUS A320","EI-EZO","","","IRL","En route","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-07-19T00:00:00.000Z""","ITA","MEGAN point","ATR ATR72","TS-LBE","","","TUN","En route","Serious incident",0,true,true,true,"Unknown","AT45",false,true,2,"Turboprop","","[""AMAN""]","OTH",2010
"""2010-07-19T00:00:00.000Z""","ITA","MEGAN point","MCDONNELL DOUGLAS","I-SMEP","Italy Meridiana Fly","ITA","ITA","","Serious incident",0,true,true,true,"Unknown","DC10",false,true,3,"Jet","","[""AMAN""]","OTH",2010
"""2010-07-20T00:00:00.000Z""","USA","Cross Timbers","BOEING 777 200","N773UA","United States United Air Lines Inc.","","USA","En route","Serious incident",0,true,true,"","Minor","B37M",false,true,2,"Jet","","[]","",2010
"""2010-07-21T00:00:00.000Z""","MNE","Podgorica, Montenegro","ILYUSHIN IL76","EK76292","","","ARM","Take-off","Incident",0,true,true,false,"None","IL76",false,true,4,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-07-21T00:00:00.000Z""","HUN","LHCC","EMBRAER ERJ170","SP-LDA","Poland Lot - Polskie Linie Lotnicze",,"POL","En route","Serious incident",0,true,true,false,"None","E170",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-07-22T00:00:00.000Z""","TWN","Taipei","BOEING 737 800","B-18612","Taiwan China Airlines","","CHN","En route","Serious incident",0,true,true,"","None","B37M",false,true,2,"Jet","","[]","",2010
"""2010-07-22T00:00:00.000Z""","IND","Amadabad","ATR ATR72","VT-JCA","India Jet Airways, M/s (India) Pvt Ltd","IND","IND","Landing","Incident",0,true,true,true,"None","AT76",false,true,2,"Turboprop","","[""ARC""]","RS",2010
"""2010-07-23T00:00:00.000Z""","ITA","FRZ VORDME","BOEING 737","EI-CWW","","","IRL","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-NP""]","SCF",2010
"""2010-07-25T00:00:00.000Z""","AUS","Mareeba Aerodrome, W M 19Km","KAVANAGH B350","VH-RMB","","","AUS","Approach","Serious incident",0,true,false,false,"None","B350",false,true,2,"Turboprop","","[""OTHR""]","OTH",2010
"""2010-07-25T00:00:00.000Z""","GHA","Mililipko","CESSNA 206","TR-LDT"," ","","GAB","En route","Incident",0,false,false,"","Unknown","T206",false,true,1,"Piston","","[""SCF-PP""]","SCF",2010
"""2010-07-26T00:00:00.000Z""","SAU","Jeddah","BOEING 767 300","V8-RBL","Brunei Darussalam Royal Brunei Airlines","","BRN","Take-off","Incident",0,true,true,false,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-07-26T00:00:00.000Z""","USA","Hyannis","CESSNA 402","N26150","",,"USA","Landing","Serious incident",0,true,false,true,"None","C402",false,true,2,"Piston","","[""ARC""]","RS",2010
"""2010-07-26T00:00:00.000Z""","USA","Gulf of Mexico","BELL 206 L","N317RL","","","USA","En route","Serious incident",0,false,false,"","None","EBOY",false,true,1,"Piston","","[]","",2010
"""2010-07-27T00:00:00.000Z""","PRI","San Juan","CESSNA 402","N402VN","United States Hyannis Air Service, Inc. D/b/a Cape Air (Hyannis,ma)",,"USA","Landing","Serious incident",0,true,false,true,"None","C402",false,true,2,"Piston","","[""SCF-NP""]","SCF",2010
"""2010-07-27T00:00:00.000Z""","USA","Ripon","PIPER PA11","N78659","",,"USA","Manoeuvring","Serious incident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","",2010
"""2010-07-27T00:00:00.000Z""","USA","Ripon","PIPER PA32","N8159B","",,"USA","Manoeuvring","Serious incident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","",2010
"""2010-07-27T00:00:00.000Z""","ZAF","FAJS","BOEING 737 800","ZS-SJS","South Africa South African Airways (Saa)","ZAF","ZAF","Take-off","Serious incident",0,true,true,true,"None","B38M",false,true,2,"Jet","","[""RI""]","RS",2010
"""2010-07-28T00:00:00.000Z""","USA","Tokyo, Japan","BOEING 777 200","N-219UA","United States United Air Lines Inc.","USA","USA","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2010
"""2010-07-28T00:00:00.000Z""","MMR","Namsang","FOKKER F27","XY-AEQ","Myanmar Myanma Airways","MMR","MMR","Take-off","Serious incident",0,true,true,true,"None","F27",false,true,2,"Turboprop","","[""SCF-PP""]","SCF",2010
"""2010-07-30T00:00:00.000Z""","USA","Pacific Ocean","BOEING 747 400","VH-OJP","Australia Qantas Airways Limited","","AUS","En route","Serious incident",0,true,true,"","","B37M",false,true,2,"Jet","","[]","",2010
"""2010-08-04T00:00:00.000Z""","FRA","AD Strasbourg (67)","FOKKER F27 100","F-GPXB","France Brit Air","FRA","FRA","Taxi","Serious incident",0,true,true,true,"None","F27",false,true,2,"Turboprop","","[""OTHR""]","OTH",2010
"""2010-08-05T00:00:00.000Z""","BRA","AD São José do Rio Preto","AIRBUS A319","PR-MAN","Brazil Tam Linhas Aereas","BRA","BRA","","Serious incident",0,true,true,true,"None","A319",false,true,2,"Jet","","[""USOS"",""CFIT""]","CFIT",2010
"""2010-08-05T00:00:00.000Z""","AUS","Williamtown Aerodrome","FAIRCHILD","VH-TAG","",,"AUS","Taxi","Serious incident",0,true,true,true,"None","SW3",false,true,2,"Turboprop","","[""RI""]","RS",2010
"""2010-08-06T00:00:00.000Z""","DEU","Hahn","BOEING 737 800","EI-DCO","Ireland Ryanair","","IRL","Approach","Serious incident",0,true,true,false,"None","B37M",false,true,2,"Jet","","[""MAC""]","OTH",2010
"""2010-08-08T00:00:00.000Z""","FIN"," Pori Airport (POR)","ATR 42-300","LY-DOT","Danu Oro Transportas","","LTU","Standing","",0,true,true,false,"","AT43",false,true,2,"Turboprop","","[]","",2010
"""2010-08-08T00:00:00.000Z""","","Dubai","B772","A6-EWC","Emirates",,"ARE","","Incident","",true,true,"","","B772",false,true,2,"Jet","","[]","",2010
